epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,218.061,0.76643,0.61237,1.09745,0.50819,0.47792,0.34027,0.28377,0.91094,3.7003,1.39566,0.0011288,0.0011288,0.0011288
46,222.291,0.77961,0.61711,1.15475,0.99667,0.92308,0.925,0.75277,0.68209,0.96354,1.18032,0.001109,0.001109,0.001109
47,226.761,0.67825,0.55233,1.08372,0.99333,1,0.995,0.86085,0.52914,0.49162,1.04971,0.0010892,0.0010892,0.0010892
48,231.093,0.77186,0.61074,1.16774,0.99294,1,0.995,0.83702,0.48953,0.45755,1.01195,0.0010694,0.0010694,0.0010694
49,235.262,0.70746,0.54907,1.10638,0.86574,0.99253,0.97951,0.84901,0.65128,0.53092,1.33762,0.0010496,0.0010496,0.0010496
50,239.345,0.6418,0.54181,1.07948,0.91191,1,0.97857,0.85924,0.46382,0.5472,0.95002,0.0010298,0.0010298,0.0010298
51,243.542,0.61649,0.51927,1.0116,0.92039,1,0.97357,0.89887,0.44914,0.58035,0.93116,0.00101,0.00101,0.00101
52,247.73,0.73626,0.54825,1.10555,0.91942,1,0.96786,0.88038,0.45994,0.64343,0.99621,0.0009902,0.0009902,0.0009902
53,251.922,0.67546,0.60742,1.09822,0.92826,0.99571,0.99,0.91776,0.41972,0.60043,0.93025,0.0009704,0.0009704,0.0009704
54,256.251,0.62976,0.51507,1.04549,0.98891,0.92308,0.97556,0.88249,0.44498,0.47147,0.94811,0.0009506,0.0009506,0.0009506
55,260.388,0.54638,0.50121,1.01689,1,0.9941,0.995,0.90675,0.41431,0.42903,0.93713,0.0009308,0.0009308,0.0009308
56,264.599,0.65867,0.47812,1.04865,0.99561,1,0.995,0.92187,0.43651,0.4091,0.95192,0.000911,0.000911,0.000911
57,268.872,0.59825,0.4594,1.05511,0.99584,1,0.995,0.92665,0.39799,0.34826,0.94281,0.0008912,0.0008912,0.0008912
58,273.062,0.60208,0.44215,1.04049,0.99502,1,0.995,0.90402,0.39945,0.33358,0.92529,0.0008714,0.0008714,0.0008714
59,277.14,0.59245,0.44012,1.03227,0.99504,1,0.995,0.94362,0.3761,0.32913,0.91022,0.0008516,0.0008516,0.0008516
60,281.388,0.60919,0.48788,1.04865,0.99516,1,0.995,0.93833,0.32915,0.27445,0.87503,0.0008318,0.0008318,0.0008318
61,285.497,0.63128,0.46932,1.10632,0.97067,1,0.995,0.9354,0.39494,0.30716,0.85821,0.000812,0.000812,0.000812
62,289.689,0.69969,0.50905,1.07876,0.98815,1,0.995,0.9228,0.4468,0.38424,0.87227,0.0007922,0.0007922,0.0007922
63,293.921,0.6391,0.48866,1.04797,0.98434,1,0.995,0.91548,0.39829,0.34239,0.85687,0.0007724,0.0007724,0.0007724
64,298.34,0.63457,0.4856,1.04673,0.92471,1,0.99,0.92525,0.35793,0.31141,0.84716,0.0007526,0.0007526,0.0007526
65,302.806,0.57295,0.46521,1.01902,0.92692,1,0.995,0.96133,0.37136,0.29529,0.84551,0.0007328,0.0007328,0.0007328
66,307.281,0.54856,0.4113,0.97999,0.99285,1,0.995,0.94466,0.38714,0.30177,0.8566,0.000713,0.000713,0.000713
67,311.458,0.60627,0.48171,1.07801,0.99557,1,0.995,0.96373,0.36441,0.27138,0.85317,0.0006932,0.0006932,0.0006932
68,315.644,0.60281,0.4834,1.04005,0.99613,1,0.995,0.95425,0.35524,0.28874,0.85372,0.0006734,0.0006734,0.0006734
69,319.799,0.53896,0.40518,1.02379,0.99567,1,0.995,0.9269,0.45074,0.35211,0.91173,0.0006536,0.0006536,0.0006536
70,324.019,0.60001,0.47103,1.00386,0.99592,1,0.995,0.88967,0.55142,0.36128,0.96995,0.0006338,0.0006338,0.0006338
71,328.225,0.62279,0.49095,1.06856,0.9959,1,0.995,0.87055,0.57584,0.39168,0.98312,0.000614,0.000614,0.000614
72,332.441,0.60629,0.46224,1.09928,0.99658,1,0.995,0.90576,0.45876,0.3413,0.92039,0.0005942,0.0005942,0.0005942
73,336.779,0.4761,0.41496,0.9525,0.99656,1,0.995,0.91615,0.38135,0.30485,0.87601,0.0005744,0.0005744,0.0005744
74,340.9,0.48551,0.38643,0.93856,0.9963,1,0.995,0.94932,0.34026,0.25544,0.85806,0.0005546,0.0005546,0.0005546
75,345.161,0.53113,0.38774,1.02928,0.99612,1,0.995,0.95065,0.32765,0.24227,0.85501,0.0005348,0.0005348,0.0005348
76,349.457,0.55745,0.40811,1.03061,0.99586,1,0.995,0.98146,0.30023,0.24098,0.84902,0.000515,0.000515,0.000515
77,353.769,0.49905,0.38616,0.99289,0.99586,1,0.995,0.97229,0.29792,0.2286,0.85528,0.0004952,0.0004952,0.0004952
